time,Wiener,Volterra
0.763,-0.817627,-0.497405
0.764,-0.813067,-0.497066
0.765,-0.749247,-0.497002
0.766,-0.736185,-0.495134
0.767,-0.675318,-0.494131
0.768,-0.664506,-0.491704
0.769,-0.679435,-0.490251
0.77,-0.690742,-0.489779
0.771,-0.672399,-0.489605
0.772,-0.657745,-0.488744
0.773,-0.667845,-0.48781
0.774,-0.677558,-0.487576
0.775,-0.677965,-0.487585
0.776,-0.666496,-0.48748
0.777,-0.641719,-0.487024
0.778,-0.636321,-0.486025
0.779,-0.697787,-0.485376
0.78,-0.674801,-0.486891
0.781,-0.700697,-0.486632
0.782,-0.733333,-0.487495
0.783,-0.719272,-0.488933
0.784,-0.696098,-0.489259
0.785,-0.687196,-0.488986
0.786,-0.617076,-0.488841
0.787,-0.599726,-0.486697
0.788,-0.598945,-0.485356
0.789,-0.641764,-0.484556
0.79,-0.678908,-0.485309
0.791,-0.67318,-0.486561
0.792,-0.599374,-0.486895
0.793,-0.602068,-0.484884
0.794,-0.604645,-0.484292
0.795,-0.618531,-0.483938
0.796,-0.624053,-0.484076
0.797,-0.615344,-0.48419
0.798,-0.609525,-0.483929
0.799,-0.613737,-0.483643
0.8,-0.611626,-0.483632
0.801,-0.672591,-0.483518
0.802,-0.701792,-0.485388
0.803,-0.774254,-0.487075
0.804,-0.758312,-0.490345
0.805,-0.754353,-0.491601
0.806,-0.730991,-0.492712
0.807,-0.743821,-0.493033
0.808,-0.745231,-0.494114
0.809,-0.718838,-0.495014
0.81,-0.737863,-0.495003
0.811,-0.757703,-0.496043
0.812,-0.698674,-0.497409
0.813,-0.721377,-0.496501
0.814,-0.703196,-0.49732
0.815,-0.730288,-0.497276
0.816,-0.73122,-0.498415
0.817,-0.756713,-0.499135
0.818,-0.760136,-0.500588
0.819,-0.765026,-0.501649
0.82,-0.786592,-0.502706
0.821,-0.744537,-0.504292
0.822,-0.793259,-0.504093
0.823,-0.759878,-0.506112
0.824,-0.770693,-0.506239
0.825,-0.785056,-0.5072
